name|config_section|interactive|platforms|env_vars|conflicts|rollback|verify|docs
postgres|postgres|no|all|BACKUP_DIR,BACKUP_ENABLED,BACKUP_FILE,BACKUP_SCRIPT,BLUE,CREATED_FILES,DB_HOST,DB_NAME,DB_PASSWORD,DB_PORT,DB_USER,DOCKER_COMPOSE_FILE,ENABLED,ENV_FILE,FILES_TO_CREATE,GREEN,INIT_FILE,NC,PG_VERSION,POOL_SIZE,SKIPPED_FILES,TIMESTAMP,YELLOW|mysql|rm -rf database/postgres/init.sql database/postgres/backup.sh database/backups/ .env.postgres docker-compose.postgres.yml|test -f database/postgres/init.sql|https://www.postgresql.org/docs/current/
project|none|no|all|DOCS|none|rm -rf CLAUDE.md README.md .claudeignore docs/ docs/architecture.md docs/api.md docs/development.md docs/deployment.md|test -f CLAUDE.md|https://docs.npmjs.com/cli/configuring-npm/package-json
python|none|yes|all|CLAUDEIGNORE_PATH,CURRENT_HASH,EDITABLE_INSTALL,ENV_PATH,GITIGNORE_PATH,HASH_FILE,INSTALL_DEPS,LAST_HASH,MANAGE_CLAUDEIGNORE,MANAGE_GITIGNORE,NEED_INSTALL,PY_BIN,PYPROJECT_TOML,PY_VERSION,REQ_FILES,REQUIRED_PY_SPEC,VENV_DIR,VENV_MODE,WRITE_ENV|none|rm -rf .venv/ .env .gitignore .claudeignore logs/|test -f .venv/|https://docs.python.org/3/
quality|quality|no|all|BASELINE_REPORT,CODECLIMATE_CONFIG,COMPLEXITY_RULES,COMPLEXITY_THRESHOLD,COVERAGE_REPORT,COVERAGE_THRESHOLD,CREATE_BASELINE,DUPLICATION_THRESHOLD,ENABLE_CODECLIMATE,ENABLED,ENABLE_SONARQUBE,EXCLUSIONS,FILES_TO_CREATE,QUALITY_GATES,SONAR_CONFIG,SONARQUBE_AVAILABLE,SOURCE_DIRS,TEST_FRAMEWORK|none|rm -rf quality/sonar-project.properties quality/.codeclimate.yml quality/quality-gates.json quality/complexity-rules.json quality/baseline-report.md|test -f quality/sonar-project.properties|https://eslint.org/docs/latest/
rate-limiting|rate_limiting|no|all|BLUE,CONFIG_FILE,CREATED_FILES,DOCKER_COMPOSE_FILE,ENABLED,ENDPOINTS_FILE,ENV_FILE,EXAMPLE_FILE,FILES_TO_CREATE,GREEN,LUA_INIT_FILE,NC,RATE_LIMIT_KEYS_PATTERN,RATE_LIMIT_MAX_REQUESTS,RATE_LIMIT_STRATEGY,RATE_LIMIT_WINDOW,REDIS_DB,REDIS_PASSWORD,REDIS_PORT,REDIS_VERSION,SKIPPED_FILES,STRATEGIES_FILE,YELLOW|none|rm -rf config/rate-limiting/rate-limit.config.json config/rate-limiting/redis-init.lua config/rate-limiting/strategies.lua config/rate-limiting/endpoints.json config/rate-limiting/example-integration.js .env.rate-limiting docker-compose.rate-limiting.yml|test -f config/rate-limiting/rate-limit.config.json|https://github.com/express-rate-limit/express-rate-limit
redis|redis|no|all|BACKUP_DIR,BACKUP_ENABLED,BACKUP_SCRIPT,BLUE,CREATED_FILES,DOCKER_COMPOSE_FILE,ENABLED,ENV_FILE,FILES_TO_CREATE,GREEN,MAX_CLIENTS,MAX_MEMORY,NC,PERSISTENCE,REDIS_CONF_FILE,REDIS_HOST,REDIS_PASSWORD,REDIS_PORT,REDIS_VERSION,SKIPPED_FILES,TIMESTAMP,YELLOW|none|rm -rf config/redis/redis.conf config/redis/backup.sh backups/redis/ .env.redis docker-compose.redis.yml|test -f config/redis/redis.conf|https://redis.io/docs/
secrets|secrets|yes|all|API_KEY,BACKUP_SECRETS,ENABLED,ENABLE_DIRENV,ENABLE_ENCRYPTION,FILES_TO_CREATE,GITIGNORE_ENTRIES,INTERACTIVE_PROMPTS,JWT_SECRET,NODE_ENV,SECRET_KEY,SECRETS_MANAGER,SESSION_SECRET|none|rm -rf .env.example .env.local .envrc .env.backup/|test -f .env.example|https://docs.github.com/en/actions/security-guides/encrypted-secrets
security|security|no|all|AUDIT_LEVEL,ENABLED,FILES_TO_CREATE|none|rm -rf security/.snyk security/security-policy.json security/.npmauditrc security/license-whitelist.json|test -f security/.snyk|https://owasp.org/www-project-web-security-testing-guide/
ssl|none|no|needs-review|CERT_METHOD,EXPIRY,GITIGNORE,PERMS,SANS,SSL_DIR,SUBJECT,TIMESTAMP,VALIDITY_DAYS|none|rm -rf ssl/openssl.cnf ssl/cert-info.txt ssl/install-cert.sh ssl/localhost.crt ssl/localhost.key ssl/localhost.pem|test -f ssl/openssl.cnf|https://letsencrypt.org/docs/
testing|none|no|all|none|none|rm -rf jest.config.js pytest.ini .coveragerc|test -f jest.config.js|https://vitest.dev/guide/
test-suite|none|no|all|API_BASE_URL,API_PORT,DRY_RUN,FORCE,FRAMEWORK_LIST,FRAMEWORKS,GITIGNORE,GITIGNORE_ENTRIES,INSTALL_MODE,SRC_DIR,TESTS_DIR,TZ|none|rm -rf tests/conftest.py tests/jest.config.js tests/TEST_CONTRACT.md tests/patterns.md tests/unit/ tests/integration/ tests/e2e/ pytest.ini vitest.config.ts playwright.config.ts|test -f tests/conftest.py|https://jestjs.io/docs/getting-started
typescript|none|no|all|LIB_DIR|none|rm -rf tsconfig.json next.config.js babel.config.js vite.config.ts src/components src/hooks src/lib src/types src/services|test -f tsconfig.json|https://www.typescriptlang.org/docs/
vscode|none|no|all|VSCODE_DIR|none|rm -rf .vscode/settings.json .vscode/extensions.json .vscode/tasks.json .vscode/launch.json|test -f .vscode/settings.json|https://code.visualstudio.com/docs
